#X,5965_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5965_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5966_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5966_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5967_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5967_ Scalar_ SUBCASE - DIRECT FREQUENCY 1
#Frequency(Hz),Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real,Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real,Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real
352.000000,-0.494913,0.125502,-0.488825,0.123959,-0.487966,0.123741
354.000000,-0.493347,0.125717,-0.487210,0.124153,-0.486344,0.123932
356.000000,-0.491810,0.125931,-0.485623,0.124347,-0.484750,0.124123
358.000000,-0.490300,0.126147,-0.484063,0.124542,-0.483182,0.124315
360.000000,-0.488818,0.126363,-0.482529,0.124737,-0.481642,0.124508
362.000000,-0.487362,0.126580,-0.481022,0.124933,-0.480128,0.124701
364.000000,-0.485932,0.126797,-0.479541,0.125130,-0.478640,0.124895
366.000000,-0.484528,0.127016,-0.478086,0.125327,-0.477177,0.125089
368.000000,-0.483150,0.127236,-0.476656,0.125525,-0.475740,0.125284
370.000000,-0.481797,0.127456,-0.475250,0.125725,-0.474328,0.125480
372.000000,-0.480469,0.127678,-0.473870,0.125925,-0.472940,0.125678
374.000000,-0.479166,0.127902,-0.472513,0.126126,-0.471576,0.125876
376.000000,-0.477886,0.128126,-0.471181,0.126328,-0.470236,0.126075
378.000000,-0.476631,0.128352,-0.469871,0.126532,-0.468919,0.126276
380.000000,-0.475399,0.128580,-0.468586,0.126737,-0.467626,0.126477
382.000000,-0.474190,0.128809,-0.467323,0.126943,-0.466355,0.126680
384.000000,-0.473005,0.129040,-0.466082,0.127151,-0.465107,0.126885
386.000000,-0.471842,0.129272,-0.464864,0.127360,-0.463882,0.127091
388.000000,-0.470701,0.129506,-0.463668,0.127571,-0.462678,0.127299
390.000000,-0.469583,0.129742,-0.462494,0.127784,-0.461496,0.127508
392.000000,-0.468486,0.129981,-0.461342,0.127998,-0.460336,0.127719
394.000000,-0.467412,0.130221,-0.460211,0.128214,-0.459197,0.127932
396.000000,-0.466358,0.130463,-0.459100,0.128433,-0.458079,0.128147
398.000000,-0.465326,0.130707,-0.458011,0.128653,-0.456982,0.128364
400.000000,-0.464315,0.130954,-0.456942,0.128875,-0.455905,0.128582
402.000000,-0.463325,0.131203,-0.455894,0.129099,-0.454849,0.128803
404.000000,-0.462355,0.131455,-0.454866,0.129325,-0.453813,0.129026
406.000000,-0.461406,0.131708,-0.453858,0.129554,-0.452797,0.129251
408.000000,-0.460477,0.131965,-0.452870,0.129785,-0.451801,0.129478
410.000000,-0.459568,0.132224,-0.451902,0.130018,-0.450824,0.129708
412.000000,-0.458679,0.132485,-0.450952,0.130254,-0.449867,0.129940
414.000000,-0.457809,0.132750,-0.450023,0.130492,-0.448929,0.130175
416.000000,-0.456959,0.133017,-0.449112,0.130733,-0.448010,0.130412
418.000000,-0.456129,0.133287,-0.448220,0.130976,-0.447109,0.130652
420.000000,-0.455317,0.133560,-0.447347,0.131222,-0.446228,0.130894
422.000000,-0.454525,0.133836,-0.446493,0.131471,-0.445365,0.131139
424.000000,-0.453752,0.134115,-0.445657,0.131723,-0.444521,0.131387
426.000000,-0.452997,0.134397,-0.444840,0.131977,-0.443695,0.131637
428.000000,-0.452261,0.134682,-0.444041,0.132234,-0.442887,0.131891
430.000000,-0.451544,0.134971,-0.443260,0.132495,-0.442097,0.132147
432.000000,-0.450845,0.135263,-0.442497,0.132758,-0.441326,0.132407
434.000000,-0.450165,0.135558,-0.441752,0.133025,-0.440572,0.132669
436.000000,-0.449503,0.135856,-0.441025,0.133294,-0.439835,0.132935
438.000000,-0.448858,0.136158,-0.440315,0.133567,-0.439117,0.133203
440.000000,-0.448232,0.136464,-0.439623,0.133843,-0.438415,0.133475
442.000000,-0.447624,0.136773,-0.438948,0.134122,-0.437732,0.133750
444.000000,-0.447034,0.137085,-0.438291,0.134404,-0.437065,0.134028
446.000000,-0.446461,0.137402,-0.437651,0.134690,-0.436416,0.134310
448.000000,-0.445907,0.137722,-0.437028,0.134979,-0.435784,0.134595
450.000000,-0.445369,0.138046,-0.436422,0.135272,-0.435169,0.134884
452.000000,-0.444850,0.138373,-0.435834,0.135568,-0.434570,0.135176
454.000000,-0.444348,0.138705,-0.435262,0.135868,-0.433989,0.135471
456.000000,-0.443863,0.139040,-0.434707,0.136172,-0.433425,0.135770
458.000000,-0.443396,0.139379,-0.434169,0.136479,-0.432877,0.136073
460.000000,-0.442946,0.139723,-0.433648,0.136790,-0.432346,0.136379
462.000000,-0.442513,0.140070,-0.433143,0.137104,-0.431832,0.136689
464.000000,-0.442097,0.140422,-0.432656,0.137423,-0.431334,0.137003
466.000000,-0.441699,0.140777,-0.432184,0.137745,-0.430853,0.137321
468.000000,-0.441318,0.141137,-0.431730,0.138071,-0.430388,0.137642
470.000000,-0.440954,0.141501,-0.431292,0.138401,-0.429940,0.137967
472.000000,-0.440607,0.141870,-0.430870,0.138735,-0.429508,0.138296
474.000000,-0.440277,0.142243,-0.430465,0.139073,-0.429093,0.138630
476.000000,-0.439964,0.142620,-0.430076,0.139415,-0.428694,0.138967
478.000000,-0.439668,0.143002,-0.429704,0.139761,-0.428311,0.139308
480.000000,-0.439389,0.143388,-0.429348,0.140111,-0.427944,0.139653
482.000000,-0.439127,0.143779,-0.429008,0.140466,-0.427594,0.140003
484.000000,-0.438882,0.144174,-0.428685,0.140824,-0.427260,0.140356
486.000000,-0.438654,0.144574,-0.428378,0.141187,-0.426942,0.140714
488.000000,-0.438442,0.144979,-0.428087,0.141554,-0.426641,0.141076
490.000000,-0.438248,0.145388,-0.427812,0.141926,-0.426355,0.141443
492.000000,-0.438071,0.145802,-0.427554,0.142302,-0.426086,0.141814
494.000000,-0.437911,0.146221,-0.427312,0.142683,-0.425833,0.142189
496.000000,-0.437768,0.146645,-0.427087,0.143067,-0.425596,0.142568
498.000000,-0.437641,0.147074,-0.426877,0.143457,-0.425376,0.142952
500.000000,-0.437532,0.147508,-0.426684,0.143851,-0.425171,0.143341
502.000000,-0.437440,0.147947,-0.426508,0.144250,-0.424983,0.143734
504.000000,-0.437365,0.148391,-0.426347,0.144653,-0.424811,0.144132
506.000000,-0.437307,0.148840,-0.426203,0.145061,-0.424656,0.144534
508.000000,-0.437266,0.149294,-0.426076,0.145474,-0.424516,0.144941
510.000000,-0.437242,0.149754,-0.425964,0.145891,-0.424393,0.145353
512.000000,-0.437235,0.150219,-0.425870,0.146314,-0.424286,0.145770
514.000000,-0.437246,0.150689,-0.425791,0.146741,-0.424196,0.146191
516.000000,-0.437274,0.151164,-0.425729,0.147173,-0.424121,0.146617
518.000000,-0.437319,0.151645,-0.425684,0.147610,-0.424064,0.147048
520.000000,-0.437382,0.152131,-0.425655,0.148052,-0.424023,0.147485
522.000000,-0.437462,0.152623,-0.425643,0.148500,-0.423998,0.147926
524.000000,-0.437560,0.153121,-0.425647,0.148952,-0.423990,0.148372
526.000000,-0.437675,0.153624,-0.425668,0.149410,-0.423998,0.148823
528.000000,-0.437808,0.154133,-0.425706,0.149872,-0.424023,0.149280
530.000000,-0.437958,0.154647,-0.425761,0.150340,-0.424065,0.149741
532.000000,-0.438127,0.155168,-0.425833,0.150814,-0.424123,0.150208
534.000000,-0.438313,0.155694,-0.425921,0.151292,-0.424198,0.150680
536.000000,-0.438517,0.156226,-0.426027,0.151776,-0.424291,0.151158
538.000000,-0.438739,0.156764,-0.426149,0.152266,-0.424400,0.151641
540.000000,-0.438979,0.157308,-0.426289,0.152761,-0.424526,0.152129
542.000000,-0.439238,0.157859,-0.426446,0.153261,-0.424669,0.152623
544.000000,-0.439515,0.158415,-0.426620,0.153768,-0.424830,0.153122
546.000000,-0.439810,0.158978,-0.426812,0.154279,-0.425007,0.153627
548.000000,-0.440124,0.159547,-0.427021,0.154797,-0.425202,0.154138
550.000000,-0.440456,0.160122,-0.427248,0.155320,-0.425415,0.154654
552.000000,-0.440807,0.160703,-0.427493,0.155849,-0.425645,0.155176
554.000000,-0.441177,0.161292,-0.427755,0.156385,-0.425893,0.155704
556.000000,-0.441566,0.161886,-0.428035,0.156926,-0.426158,0.156237
558.000000,-0.441974,0.162487,-0.428333,0.157473,-0.426441,0.156777
560.000000,-0.442401,0.163095,-0.428649,0.158026,-0.426743,0.157323
562.000000,-0.442848,0.163710,-0.428984,0.158585,-0.427062,0.157874
564.000000,-0.443314,0.164331,-0.429337,0.159150,-0.427400,0.158432
566.000000,-0.443800,0.164960,-0.429708,0.159722,-0.427756,0.158996
568.000000,-0.444305,0.165595,-0.430098,0.160300,-0.428130,0.159566
570.000000,-0.444831,0.166237,-0.430507,0.160884,-0.428523,0.160143
572.000000,-0.445377,0.166887,-0.430934,0.161475,-0.428934,0.160725
574.000000,-0.445943,0.167543,-0.431381,0.162072,-0.429365,0.161315
576.000000,-0.446529,0.168207,-0.431847,0.162676,-0.429814,0.161910
578.000000,-0.447136,0.168878,-0.432332,0.163286,-0.430283,0.162513
580.000000,-0.447764,0.169556,-0.432836,0.163904,-0.430771,0.163121
582.000000,-0.448413,0.170242,-0.433360,0.164527,-0.431278,0.163737
584.000000,-0.449083,0.170936,-0.433904,0.165158,-0.431805,0.164359
586.000000,-0.449774,0.171637,-0.434468,0.165796,-0.432352,0.164988
588.000000,-0.450487,0.172346,-0.435053,0.166441,-0.432919,0.165624
590.000000,-0.451222,0.173062,-0.435657,0.167093,-0.433506,0.166268
592.000000,-0.451979,0.173787,-0.436282,0.167751,-0.434113,0.166918
594.000000,-0.452758,0.174519,-0.436928,0.168418,-0.434741,0.167575
596.000000,-0.453559,0.175260,-0.437595,0.169091,-0.435390,0.168239
598.000000,-0.454383,0.176009,-0.438282,0.169772,-0.436059,0.168911
600.000000,-0.455230,0.176766,-0.438992,0.170461,-0.436750,0.169590
602.000000,-0.456100,0.177531,-0.439722,0.171156,-0.437462,0.170277
604.000000,-0.456994,0.178305,-0.440475,0.171860,-0.438196,0.170971
606.000000,-0.457911,0.179088,-0.441249,0.172571,-0.438951,0.171673
608.000000,-0.458852,0.179879,-0.442046,0.173291,-0.439728,0.172382
610.000000,-0.459817,0.180679,-0.442865,0.174018,-0.440528,0.173099
612.000000,-0.460807,0.181487,-0.443707,0.174753,-0.441350,0.173824
614.000000,-0.461821,0.182305,-0.444572,0.175496,-0.442195,0.174558
616.000000,-0.462861,0.183132,-0.445461,0.176248,-0.443063,0.175299
618.000000,-0.463926,0.183968,-0.446372,0.177007,-0.443954,0.176048
620.000000,-0.465016,0.184813,-0.447308,0.177775,-0.444869,0.176806
622.000000,-0.466133,0.185668,-0.448268,0.178552,-0.445808,0.177572
624.000000,-0.467276,0.186532,-0.449252,0.179337,-0.446771,0.178347
626.000000,-0.468445,0.187407,-0.450261,0.180132,-0.447758,0.179130
628.000000,-0.469642,0.188290,-0.451294,0.180934,-0.448770,0.179922
630.000000,-0.470866,0.189184,-0.452354,0.181746,-0.449807,0.180723
632.000000,-0.472118,0.190088,-0.453438,0.182567,-0.450869,0.181533
634.000000,-0.473397,0.191002,-0.454549,0.183397,-0.451958,0.182352
636.000000,-0.474706,0.191926,-0.455686,0.184237,-0.453072,0.183180
638.000000,-0.476043,0.192861,-0.456850,0.185086,-0.454212,0.184017
640.000000,-0.477409,0.193807,-0.458041,0.185944,-0.455380,0.184864
642.000000,-0.478805,0.194763,-0.459259,0.186812,-0.456574,0.185720
644.000000,-0.480231,0.195730,-0.460505,0.187690,-0.457796,0.186586
646.000000,-0.481688,0.196708,-0.461779,0.188578,-0.459046,0.187462
648.000000,-0.483176,0.197697,-0.463082,0.189476,-0.460324,0.188347
650.000000,-0.484695,0.198698,-0.464414,0.190384,-0.461631,0.189243
652.000000,-0.486247,0.199710,-0.465776,0.191302,-0.462967,0.190149
654.000000,-0.487831,0.200734,-0.467167,0.192231,-0.464333,0.191065
656.000000,-0.489447,0.201770,-0.468589,0.193171,-0.465729,0.191992
658.000000,-0.491098,0.202818,-0.470042,0.194122,-0.467155,0.192930
660.000000,-0.492782,0.203878,-0.471526,0.195083,-0.468612,0.193878
662.000000,-0.494501,0.204950,-0.473041,0.196056,-0.470101,0.194837
664.000000,-0.496255,0.206035,-0.474589,0.197040,-0.471621,0.195807
666.000000,-0.498045,0.207132,-0.476170,0.198035,-0.473175,0.196789
668.000000,-0.499871,0.208243,-0.477785,0.199042,-0.474761,0.197782
670.000000,-0.501734,0.209367,-0.479433,0.200061,-0.476380,0.198787
672.000000,-0.503635,0.210504,-0.481116,0.201091,-0.478034,0.199803
674.000000,-0.505574,0.211654,-0.482833,0.202134,-0.479723,0.200832
676.000000,-0.507551,0.212818,-0.484587,0.203189,-0.481446,0.201872
678.000000,-0.509569,0.213997,-0.486377,0.204257,-0.483206,0.202925
680.000000,-0.511626,0.215189,-0.488204,0.205338,-0.485002,0.203991
682.000000,-0.513725,0.216396,-0.490068,0.206431,-0.486835,0.205069
684.000000,-0.515865,0.217617,-0.491971,0.207538,-0.488707,0.206160
686.000000,-0.518048,0.218853,-0.493913,0.208657,-0.490616,0.207265
688.000000,-0.520275,0.220105,-0.495895,0.209791,-0.492565,0.208382
690.000000,-0.522545,0.221371,-0.497917,0.210938,-0.494554,0.209513
692.000000,-0.524861,0.222654,-0.499980,0.212099,-0.496584,0.210658
694.000000,-0.527222,0.223952,-0.502085,0.213274,-0.498655,0.211817
696.000000,-0.529630,0.225266,-0.504233,0.214464,-0.500769,0.212990
698.000000,-0.532086,0.226596,-0.506425,0.215668,-0.502926,0.214178
700.000000,-0.534590,0.227943,-0.508662,0.216888,-0.505126,0.215380
